date,symbol,name,open,high,low,close,prev_close,volume
2026-08-25,DAICHI,DAI-ICHI KARKARIA LTD.,326.1,340.0,326.1,339.15,337.35,8135
2026-08-25,DALBHARAT,DALMIA BHARAT LIMITED,1854.8,1854.8,1780.1,1824.0,1853.0,513247
2026-08-25,DALMIASUG,DALMIA BHARAT SUG IN LTD,478.75,492.95,454.3,470.25,480.75,514173
2026-08-25,DAMCAPITAL,DAM CAPITAL ADVISORS LTD,145.3,155.24,145.2,149.38,145.96,1042896
2026-08-25,DANGEE,DANGEE DUMS LIMITED,2.94,2.99,2.82,2.83,2.85,53556
2026-08-25,DATAPATTNS,DATA PATTERNS INDIA LTD,4730.0,4768.7,4500.1,4542.3,4736.2,1198526
2026-08-25,DATAMATICS,DATAMATICS GLOBAL SER LTD,815.9,817.75,796.8,799.2,812.15,46031
2026-08-25,DAVANGERE,DAVANGERE SUGAR COMPANY L,2.91,2.94,2.86,2.88,2.87,9209404
2026-08-25,DCI,DC INFOTECH AND COMUN LTD,386.85,386.85,365.1,370.15,384.0,38862
2026-08-25,DCBBANK,DCB BANK LIMITED,201.5,210.1,200.16,207.37,199.74,7870975
2026-08-25,DCMFINSERV,DCM FINANCIAL SERVICES LT,5.13,5.49,5.01,5.33,5.13,9336
2026-08-25,DCMNVL,DCM NOUVELLE LIMITED,173.0,180.44,171.01,180.29,171.85,21635
2026-08-25,DCMSRIND,DCM SHRIRAM IND LTD,52.16,53.06,49.25,50.5,53.06,255135
2026-08-25,DCMSIL,DCM SHRIRAM INTERNATNL L,76.7,79.79,75.01,77.8,77.38,67148
2026-08-25,DCMSHRIRAM,DCM SHRIRAM LIMITED,1070.0,1075.1,1050.0,1052.9,1075.4,77649
2026-08-25,DCW,DCW LTD,44.99,46.35,44.75,45.38,44.9,953415
2026-08-25,DCXINDIA,DCX SYSTEMS LIMITED,176.62,177.0,172.6,173.76,175.72,253359
2026-08-25,DDEVPLSTIK,DDEV PLASTIKS IND LTD,276.0,284.0,274.5,276.05,276.6,68193
2026-08-25,DENORA,DE NORA INDIA LIMITED,822.5,845.0,816.9,824.4,822.3,4929
2026-08-25,DECCANCE,DECCAN CEMENTS LIMITED,555.1,567.55,545.0,564.05,546.85,58941
2026-08-25,DECNGOLD,DECCAN GOLD MINES LTD.,249.0,249.49,231.1,232.84,247.61,2097704
2026-08-25,DEEDEV,DEE DEVELOPMENT ENG LTD,635.0,654.0,631.0,647.8,634.5,99366
2026-08-25,DEEPINDS,DEEP INDUSTRIES LIMITED,675.45,678.35,645.15,649.65,678.05,206309
2026-08-25,DEEP,DEEP POLYMERS LTD.,37.0,37.0,35.9,36.08,37.18,8927
2026-08-25,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,1470.2,1508.0,1445.4,1460.0,1476.1,475338
2026-08-25,DEEPAKNTR,DEEPAK NITRITE LTD,1737.0,1782.0,1737.0,1751.0,1730.3,513767
2026-08-25,DELHIVERY,DELHIVERY LIMITED,441.65,447.95,439.1,447.95,444.75,1174352
2026-08-25,DELTACORP,DELTA CORP LIMITED,59.17,62.24,58.9,61.52,58.88,3357809
2026-08-25,DELTAMAGNT,DELTA MANUFACTURING LTD,56.74,59.5,56.32,56.63,57.32,2448
2026-08-25,DEN,DEN NETWORKS LTD,28.14,28.34,27.7,28.12,28.14,240029
2026-08-25,DENTA,DENTA WATER N INFRA SOL L,284.2,286.0,281.55,284.75,282.55,57440
2026-08-25,DEVX,DEV ACCELERATOR LIMITED,35.0,35.0,33.75,33.97,34.93,35507
2026-08-25,DEVIT,DEV INFO TECHNOLOGY LTD,25.6,26.5,25.27,25.41,25.43,33671
2026-08-25,DEVYANI,DEVYANI INTERNATIONAL LTD,149.0,150.25,146.41,149.9,149.12,2461729
2026-08-25,DBOL,DHAMPUR BIO ORGANICS LTD,127.3,131.78,126.51,128.94,128.45,459359
2026-08-25,DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,180.0,186.0,177.2,179.72,180.79,1670593
2026-08-25,DHANBANK,DHANLAXMI BANK LIMITED,33.76,33.97,32.8,33.12,34.01,758275
2026-08-25,DHANUKA,DHANUKA AGRITECH LTD,990.0,996.0,980.0,983.7,994.9,13953
2026-08-25,DHARMAJ,DHARMAJ CROP GUARD LTD,260.65,278.0,256.9,271.25,260.65,59403
2026-08-25,DHATRE,DHATRE UDYOG LTD.,4.27,4.39,4.16,4.27,4.41,25881
